ADMIN0,ADMIN1,ADMIN2,IUs_NAME,IU_CODE,Year,PopTot,PopPreSAC,PopSAC,PopAdult,Endemicity,PopReq,PopTrg,PopTreat,Cov,Cum_MDA,MDA,EffMDA,MDA_n,EffMDA_n,EpiCov,EpiMDA,EpiEffMDA,EpiMDA_n,EpiEffMDA_n,MDA_scheme,Endemicity_ID,Endemicity_loa,Raploa_MIN,Raploa_MAX,ov_prev_mean,ov_prev_min,ov_prev_ma
Guinea-Bissau,Oio,Mansaba,Mansaba,GNB0242223735,2020,26860,3572,6882,15216,Unknown (under LF MDA),0,0,0,0,6,0,0,4,0,0,0,0,4,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Oio,Mansoa,Mansoa,GNB0242223736,2020,43245,5752,11079,24498,Unknown (under LF MDA),0,0,0,0,6,0,0,4,2,0,0,0,4,2,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Oio,Mores,Mores,GNB0242223737,2020,11419,1519,2926,6469,Unknown (under LF MDA),0,0,0,0,6,0,0,4,2,0,0,0,4,2,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Oio,Nhacra,Nhacra,GNB0242223738,2020,27764,3693,7113,15728,Unknown (under LF MDA),0,0,0,0,6,0,0,4,1,0,0,0,4,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Oio,Olossato,Olossato,GNB0242223739,2020,17239,2293,4417,9766,Unknown (under LF MDA),0,0,0,0,6,0,0,4,3,0,0,0,4,3,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Quinara,Brandao,Brandao,GNB0242323740,2020,10033,1334,2570,5684,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Quinara,Dar-Sa-Lame,Dar-Sa-Lame,GNB0242323741,2020,6538,870,1675,3704,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Quinara,Buba,Buba,GNB0242323742,2020,23452,3119,6008,13286,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Quinara,Empada,Empada,GNB0242323743,2020,17115,2276,4385,9696,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Quinara,Fulacunda,Fulacunda,GNB0242323744,2020,14165,1884,3629,8024,Unknown (under LF MDA),0,0,0,0,3,0,0,2,0,0,0,0,2,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Quinara,Tite,Tite,GNB0242323745,2020,11339,1508,2905,6424,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Sab,24 De Setembro,24 De Setembro,GNB0240823746,2020,21379,2843,5477,12111,Unknown (under LF MDA),0,0,0,0,2,0,0,1,0,0,0,0,1,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Sab,Luanda,Luanda,GNB0240823747,2020,36002,4788,9224,20395,Unknown (under LF MDA),0,0,0,0,2,0,0,1,0,0,0,0,1,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Sab,Missira,Missira,GNB0240823748,2020,55364,7363,14184,31364,Unknown (under LF MDA),0,0,0,0,2,0,0,1,0,0,0,0,1,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Sab,Pefine,Pefine,GNB0240823749,2020,21126,2810,5412,11968,Unknown (under LF MDA),0,0,0,0,2,0,0,1,0,0,0,0,1,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Sab,Plack Ii,Plack Ii,GNB0240823750,2020,39423,5243,10100,22333,Unknown (under LF MDA),0,0,0,0,2,0,0,1,0,0,0,0,1,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Sab,Santa Luzia,Santa Luzia,GNB0240823751,2020,24544,3264,6288,13904,Unknown (under LF MDA),0,0,0,0,2,0,0,1,0,0,0,0,1,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Sab,Sintra-Nema,Sintra-Nema,GNB0240823752,2020,30602,4070,7840,17336,Unknown (under LF MDA),0,0,0,0,2,0,0,1,0,0,0,0,1,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Tombali,Calaque,Calaque,GNB0242723753,2020,17265,2296,4423,9781,Unknown (consider Oncho Elimination Mapping),0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,4,Non-endemic,0,0,0.056426714,0,0.17679558
Guinea-Bissau,Tombali,Bedanda,Bedanda,GNB0242723754,2020,18303,2434,4689,10369,Unknown (consider Oncho Elimination Mapping),0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,4,Non-endemic,0,0,0.056426714,0,0.17679558
Guinea-Bissau,Tombali,Cacine,Cacine,GNB0242723755,2020,13342,1774,3418,7558,Unknown (consider Oncho Elimination Mapping),0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,4,Non-endemic,0,0,0.056426714,0,0.17679558
Guinea-Bissau,Tombali,Catio,Catio,GNB0242723756,2020,20175,2683,5169,11429,Unknown (consider Oncho Elimination Mapping),0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,4,Non-endemic,0,0,0.056426714,0,0.17679558
Guinea-Bissau,Tombali,Komo,Komo,GNB0242723757,2020,11461,1524,2936,6493,Unknown (consider Oncho Elimination Mapping),0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,4,Non-endemic,0,0,0.056426714,0,0.17679558
Guinea-Bissau,Tombali,Quebo,Quebo,GNB0242723758,2020,21491,2858,5506,12175,Unknown (consider Oncho Elimination Mapping),0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,4,Non-endemic,0,0,0.056426714,0,0.17679558
